,Subject,Questions-C,Questions-Base,Questions-S,Questions-GPT
0,David_Bowie,7,7,7,7
1,Kanye_West,6,6,7,7
2,Eminem,7,8,8,9
3,Jennifer_Aniston,7,7,7,7
4,George_W._Bush,7,7,7,7
5,Prince_(musician),7,7,7,8
6,Justin_Bieber,7,7,7,7
7,Drake_(musician),8,8,8,7
8,Heath_Ledger,7,7,7,7
9,John_Krasinski,8,6,7,8
10,Val_Kilmer,6,6,6,7
11,American_Horror_Story,7,7,7,7
12,Brad_Pitt,6,7,7,7
13,Japan,8,8,7,7
14,Barack_Obama,8,8,8,7
15,Bill_Clinton,8,8,8,7
16,Donald_Trump,7,7,7,7
17,Jimmy_Carter,8,8,8,8
18,Martin_Luther_King_Jr.,8,8,8,8
19,Ronald_Reagan,8,7,9,12
20,Germany,7,8,8,7
21,Matthew_Perry,8,7,7,7
22,Vietnam_War,6,6,6,10
23,The_Walking_Dead_(TV_series),7,7,7,8
24,London,8,8,8,8
25,World_War_I,7,7,7,10
26,California,8,8,8,8
27,The_Beatles,8,8,8,9
28,Robert_Downey_Jr.,7,8,8,8
29,Roger_Federer,7,7,8,8
30,Marilyn_Manson,9,8,7,10
31,Ben_Affleck,7,7,6,7
32,India,8,8,7,8
33,Serena_Williams,9,8,7,8
34,Novak_Djokovic,7,7,7,8
35,China,8,8,8,8
36,France,8,8,7,8
37,Michael_Jackson,9,8,8,7
38,Nicolas_Cage,9,7,7,8
39,Johnny_Depp,7,7,7,6
40,South_Africa,8,8,8,8
41,Tobey_Maguire,8,9,9,9
42,Sandra_Bullock,7,7,7,6
43,Paul_Walker,7,7,7,8
44,Mark_Wahlberg,8,7,8,7
45,New_Zealand,8,8,8,8
46,Alec_Baldwin,7,7,7,7
47,Rachel_Weisz,7,7,7,7
48,Stanley_Tucci,8,8,8,8
49,Keanu_Reeves,8,8,8,7
50,Frank_Sinatra,7,7,7,7
51,Salma_Hayek,7,7,8,8
52,Ryan_Reynolds,8,8,8,8
53,Snoop_Dogg,8,8,8,8
54,Priyanka_Chopra,8,8,8,7
55,Ernest_Hemingway,8,8,8,8
56,Brittany_Murphy,6,9,7,7
57,Lady_Gaga,7,7,7,8
58,Robin_Williams,7,7,7,7
59,Will_Smith,8,8,8,8
60,Mila_Kunis,7,10,10,8
61,Quentin_Tarantino,9,9,9,8
62,Tom_Hanks,7,7,7,8
63,American_Civil_War,9,9,9,6
64,Winston_Churchill,8,8,8,9
65,Netherlands,7,7,7,7
66,Stephen_Hawking,6,8,7,8
67,Arnold_Schwarzenegger,7,8,9,7
68,Clint_Eastwood,7,9,9,8
69,Julia_Roberts,9,8,8,8
70,Sylvester_Stallone,8,7,7,8
71,Grey's_Anatomy,7,7,7,7
72,Judy_Garland,8,7,7,7
73,Canada,8,8,8,8
74,Jake_Gyllenhaal,7,7,7,8
75,Betty_White,8,7,8,7
76,Tom_Cruise,7,8,8,8
77,Game_of_Thrones,8,8,8,7
78,Jason_Sudeikis,10,11,9,8
79,Scarlett_Johansson,8,8,8,8
80,George_Harrison,7,7,8,7
81,Daniel_Craig,7,7,7,8
82,Kate_Winslet,8,8,7,7
83,Elvis_Presley,6,6,7,7
84,William_Shakespeare,8,8,8,8
85,Vin_Diesel,8,8,8,8
86,Angelina_Jolie,9,10,8,8
87,Britney_Spears,8,8,8,8
88,Emily_Blunt,8,7,9,7
89,Selena_Gomez,8,8,7,8
90,Blake_Lively,8,12,11,8
91,Marilyn_Monroe,9,8,8,8
92,Matthew_McConaughey,8,8,8,7
93,Dwayne_Johnson,8,9,9,8
94,Freddie_Mercury,7,7,8,7
95,Tom_Hardy,9,9,7,8
96,Dilip_Kumar,7,7,7,6
97,Queen_Victoria,9,9,8,8
98,Tupac_Shakur,7,7,9,7
99,Abraham_Lincoln,7,7,7,7
100,Macaulay_Culkin,9,8,9,8
101,Alexander_the_Great,7,7,7,8
102,Kristen_Stewart,9,13,7,9
103,Google,9,9,9,8
104,Albert_Einstein,8,8,8,8
105,President_of_the_United_States,10,10,10,7
106,Adele,8,8,7,6
107,Nicki_Minaj,6,6,7,7
108,Emma_Stone,8,8,8,8
109,Olivia_Wilde,9,8,8,8
110,Audrey_Hepburn,8,8,7,7
111,Aretha_Franklin,8,8,8,7
112,Jennifer_Lawrence,7,7,8,8
113,Adolf_Hitler,6,6,6,7
114,Rihanna,8,8,8,7
115,Carey_Mulligan,7,7,7,8
116,Bruce_Lee,10,9,9,7
117,Jennifer_Lopez,8,8,8,7
118,Australia,8,8,8,7
119,Soviet_Union,7,7,8,8
120,Android_(operating_system),7,7,7,7
121,Taiwan,7,7,7,8
122,Aaliyah,11,14,6,13
123,Chris_Evans_(actor),8,8,8,7
124,John_F._Kennedy,8,8,8,8
125,Leonardo_DiCaprio,7,7,7,8
126,Jason_Momoa,10,10,8,8
127,Nicole_Kidman,8,8,7,8
128,Israel,8,7,8,8
129,Turkey,8,8,8,8
130,Elton_John,8,8,8,7
131,George_Washington,7,7,7,7
132,Microsoft_Windows,8,8,8,8
133,Taylor_Swift,9,8,8,8
134,Nelson_Mandela,9,9,8,8
135,Megan_Fox,9,15,12,11
136,Emma_Watson,9,9,7,8
137,Tina_Turner,8,8,8,8
138,Margaret_Thatcher,7,8,8,8
139,Napoleon,8,8,8,8
140,Shaquille_O'Neal,8,8,8,7
141,Franklin_D._Roosevelt,7,7,7,8
142,Afghanistan,8,8,8,8
143,Demi_Lovato,9,8,8,6
144,Joseph_Stalin,8,8,8,8
145,Russia,8,8,8,8
146,Philippines,8,8,9,8
147,Chelsea_F.C.,7,7,8,7
148,Tamil_Nadu,8,8,8,8
149,Elizabeth_II,7,7,8,7
150,Mahatma_Gandhi,7,7,7,8
151,MacOS,8,8,8,8
152,Kobe_Bryant,8,8,8,8
153,Kim_Kardashian,7,7,7,8
154,Ottoman_Empire,7,7,8,8
155,England_national_football_team,9,9,9,9
156,Tom_Brady,8,9,8,9
157,Travis_Barker,7,7,6,7
158,George_V,8,7,8,8
159,Michael_Jordan,9,9,9,9
160,Pakistan,8,8,8,8
161,Steve_Jobs,8,8,8,7
162,LeBron_James,9,8,9,8
163,Singapore,8,8,8,8
164,Friends,8,8,8,8
165,Joe_Biden,8,8,8,7
166,John_Lennon,7,7,7,7
167,New_York_City,8,8,8,8
168,English_language,10,10,10,9
169,United_Kingdom,8,8,8,8
170,Manchester_City_F.C.,8,8,8,8
171,Manchester_United_F.C.,9,9,8,9
172,Lionel_Messi,7,7,7,8
173,Myanmar,8,8,9,8
174,Paul_McCartney,7,7,8,7
175,The_Matrix,7,7,7,7
176,Neymar,7,7,7,8
177,XXX_(2002_film),7,7,7,7
178,United_States,8,8,8,7
179,Nancy_Pelosi,8,8,8,8
180,Andhra_Pradesh,8,8,8,8
181,Maharashtra,8,8,7,8
182,Paris_Saint-Germain_F.C.,9,9,8,9
183,Uttar_Pradesh,8,8,8,8
